Generation,id,Figure,Pattern,Body-colour,Eye-colour,Nose-colour,Whisker-type,Eye-type,Ear-type,Mouth-type
0,1,Medium,Solid,#F8F9F9,#3BE8F9,#E5A9A9,Long,Round,Fold,Close
0,2,Medium,Solid,#333333,#F2811D,#525252,Long,Staring,Straight,Sticking-out
0,3,Medium,Hachiware-Tora,#A1CD73,#BF3BB6,#C87978,Long,Open,Straight,Close
0,4,Mochimochi,Hachiware,#427676,#D9C359,#34252B,Long,Open,Straight,Close
0,5,Mochimochi,Hachiware,#BFAE99,#B0BF3B,#D09B9B,Long,Round,Straight,Close
0,6,Medium,Hachiware,#F2AB27,#F2CB05,#34252B,Long,Slanted,Straight,Close
0,7,Mochimochi,Hachiware-Tora,#BFAE99,#5CACF2,#34252B,Short,Open,Fold,Sticking-out
0,8,Mochimochi,Hachiware,#B3D5F2,#3F8EBF,#34252B,Long,Open,Straight,Close
0,9,Medium,Hachiware,#A1CD73,#89A621,#34252B,Long,Round,Fold,Close
0,10,Slender,Hachiware,#B3D5F2,#5CACF2,#34252B,Short,Drooping,Fold,Open
0,11,Medium,Hachiware-Tora,#A9B9D9,#62D9D9,#BF9A9B,Long,Slanted,Fold,Open
0,12,Mochimochi,Hachiware,#B3D5F2,#62D9D9,#D09B9B,Short,Drooping,Fold,Sticking-out
0,13,Medium,Hachiware,#BDE3F2,#4E5FBF,#34252B,Short,Round,Fold,Open
0,14,Mochimochi,Hachiware-Tora,#427676,#F2CB05,#D09B9B,Long,Staring,Straight,Close
0,15,Slender,Hachiware,#A9B9D9,#F2D4AE,#BF9A9B,Long,Slanted,Straight,Close
0,16,Medium,Hachiware,#A1CD73,#4E5FBF,#D09B9B,Short,Round,Fold,Open
0,17,Medium,Hachiware-Tora,#F2507B,#5CACF2,#34252B,Long,Slanted,Straight,Open
0,18,Medium,Hachiware-Tora,#F2C46D,#B0BF3B,#D09B9B,Long,Slanted,Straight,Close
0,19,Slender,Solid,#F2507B,#BF3BB6,#C87978,Short,Round,Fold,Sticking-out
0,20,Slender,Hachiware,#F2507B,#BF3BB6,#C87978,Long,Open,Fold,Close
0,21,Mochimochi,Solid,#BDE3F2,#41D2F2,#D09B9B,Long,Drooping,Straight,Sticking-out
0,22,Slender,Hachiware,#A68A7B,#D9863D,#34252B,Long,Open,Straight,Open
0,23,Slender,Hachiware-Tora,#A68A7B,#F2CB05,#34252B,Short,Staring,Straight,Sticking-out
0,24,Mochimochi,Hachiware,#B3D5F2,#D97789,#C0AC49,Long,Round,Straight,Open
0,25,Medium,Solid,#A9B9D9,#F2E205,#D09B9B,Long,Round,Straight,Open
0,26,Mochimochi,Solid,#3B596A,#F2CB05,#34252B,Long,Drooping,Fold,Close
0,27,Medium,Hachiware-Tora,#F26B5E,#D9C359,#34252B,Long,Slanted,Fold,Open
0,28,Mochimochi,Solid,#F2C094,#41D2F2,#34252B,Short,Drooping,Fold,Sticking-out
0,29,Slender,Solid,#F2C094,#62D9D9,#34252B,Short,Staring,Straight,Close
0,30,Slender,Hachiware-Tora,#F2C46D,#D9B60B,#34252B,Long,Open,Fold,Close
